Season,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HS,AS,HST,AST,BbAvH,BbAvD,BbAvA,HValue,AValue,HAcc,AAcc,HConv,AConv,HCurrentPoints,ACurrentPoints,FTHG_5Avg,FTAG_5Avg,HS_5Avg,AS_5Avg,HST_5Avg,AST_5Avg,HAcc_5Avg,AAcc_5Avg,HConv_5Avg,AConv_5Avg,HRating,ARating,Value_Diff,CurrentPoints_Diff,Rating_Diff,FTG_5Avg_Diff,S_5Avg_Diff,ST_5Avg_Diff,Acc_5Avg_Diff,Conv_5Avg_Diff
2016-2017,2016-12-18,Bournemouth,Southampton,1,3,A,10,14,5,8,2.91,3.21,2.6,0.13332509830564304,0.31136176188671677,0.49999950000050003,0.5714281632655976,0.0999999000001,0.21428556122459913,21,21,1.8,0.4,11.2,13.2,4.0,3.4,0.35816959831721507,0.21383739964213916,0.15686260162771587,0.026050403043581728,-0.548392375,0.44823103200000003,-0.17803666358107373,0,-0.9966234070000001,1.4,-2.0,0.6000000000000001,0.1443321986750759,0.13081219858413415
2016-2017,2016-12-18,Man City,Arsenal,2,1,H,14,6,5,1,2.13,3.54,3.48,0.8791097935066807,0.8841309823677581,0.35714260204099857,0.16666638888935187,0.1428570408163994,0.16666638888935187,33,34,1.8,2.6,15.4,14.0,5.0,4.6,0.3488449312009775,0.30657242158043924,0.12515510165823923,0.18092506030611114,0.7505748720000001,0.7246789640000001,-0.005021188861077386,-1,0.025895907999999968,-0.8,1.4000000000000004,0.40000000000000036,0.042272509620538246,-0.0557699586478719
2016-2017,2016-12-18,Tottenham,Burnley,2,1,H,30,5,9,2,1.21,6.73,14.84,0.6025569760978322,0.03851898085196496,0.29999990000003335,0.39999920000160005,0.06666664444445185,0.19999960000080003,30,17,2.4,0.8,18.6,10.6,8.0,4.0,0.4261902131206157,0.3746424391395921,0.11746025197367001,0.05749995656253465,0.849825768,0.0,0.5640379952458673,13,0.849825768,1.5999999999999999,8.000000000000002,4.0,0.051547773981023615,0.05996029541113536
2016-2017,2016-12-19,Everton,Liverpool,0,1,A,6,11,1,4,4.12,3.61,1.91,0.3677145739402549,0.6618443637012105,0.16666638888935187,0.3636360330581518,0.0,0.09090900826453795,23,34,1.2,2.0,13.0,17.0,4.2,3.8,0.3232764722801645,0.22518503412905672,0.09460531910103995,0.13703693253780957,0.100197865,0.324947709,-0.29412978976095555,-11,-0.22474984399999998,-0.8,-4.0,0.40000000000000036,0.09809143815110777,-0.04243161343676963
2016-2017,2016-12-26,Chelsea,Bournemouth,3,0,H,14,7,4,3,1.38,4.85,8.69,0.8754863813229573,0.14435701388734087,0.2857140816327988,0.4285708163274053,0.21428556122459913,0.0,43,21,1.6,1.8,12.6,11.4,4.6,4.6,0.37990969600780905,0.41372510325553186,0.14702190163924797,0.15464038409684427,0.152728823,-0.548392375,0.7311293674356164,22,0.7011211980000001,-0.19999999999999996,1.1999999999999993,0.0,-0.033815407247722806,-0.007618482457596304
2016-2017,2016-12-26,Burnley,Middlesbrough,1,0,H,6,8,4,2,2.97,3.1,2.61,0.035575319622012234,0.0,0.6666655555574075,0.24999968750039064,0.16666638888935187,0.0,17,18,1.0,1.2,10.6,9.2,4.0,3.0,0.3746424391395921,0.3383329061116982,0.09749987656269465,0.13916648774330564,0.0,0.0,0.035575319622012234,-1,0.0,-0.19999999999999996,1.4000000000000004,1.0,0.036309533027893914,-0.04166661118061099
2016-2017,2016-12-26,Watford,Crystal Palace,1,1,D,9,10,3,4,2.47,3.28,3.0,0.1486010746711136,0.22259869374289473,0.3333329629633745,0.3999996000004,0.11111098765445816,0.0999999000001,21,15,0.8,2.2,10.6,9.4,3.8,3.8,0.37316653815685613,0.40793601461391543,0.06631010392066455,0.2095235937266225,-0.250205061,-0.30005833600000004,-0.07399761907178112,6,0.04985327500000003,-1.4000000000000001,1.1999999999999993,0.0,-0.0347694764570593,-0.14321348980595794
2016-2017,2016-12-26,Swansea,West Ham,1,4,A,14,14,7,7,2.63,3.34,2.75,0.0,0.3936158355810169,0.49999964285739795,0.49999964285739795,0.0714285204081997,0.2857140816327988,12,19,1.8,1.2,11.0,12.2,4.0,4.2,0.2999997480161111,0.34904725345094956,0.12341260568633405,0.1315871332264886,-0.25106343600000003,0.35134756100000003,-0.3936158355810169,-7,-0.602410997,0.6000000000000001,-1.1999999999999993,-0.20000000000000018,-0.049047505434838434,-0.008174527540154547
2016-2017,2016-12-26,Arsenal,West Brom,1,0,H,26,3,11,1,1.34,5.31,9.47,0.8165647581989995,0.0,0.4230767603550922,0.3333322222259259,0.03846152366864474,0.0,34,23,2.6,1.4,14.2,10.2,4.6,2.2,0.2999057793581496,0.20578068024364815,0.1742584180838215,0.11888101726254523,0.7246789640000001,-0.35033764700000003,0.8165647581989995,11,1.0750166110000001,1.2000000000000002,4.0,2.3999999999999995,0.09412509911450145,0.055377400821276276
2016-2017,2016-12-26,Leicester,Everton,0,2,A,7,8,2,3,2.5,3.32,2.93,0.3070224198628868,0.39814092418804753,0.2857138775516035,0.37499953125058594,0.0,0.24999968750039064,17,23,1.8,1.0,12.8,11.4,5.2,3.2,0.4143210235328286,0.2708955255681952,0.15669963043111684,0.08031961501940002,0.799983307,0.100197865,-0.09111850432516072,-6,0.699785442,0.8,1.4000000000000004,2.0,0.14342549796463344,0.07638001541171682
